columns : ['rate', 'spread', 'velocity_below', 'silhouette_score', 'firing_rate', 'd_prime', 'nn_hit_rate', 'waveform_duration', 'amplitude', 'cluster_id', 'snr', 'local_index', 'peak_channel_id', 'PT_ratio', 'presence_ratio', 'max_drift', 'cumulative_drift', 'repolarization_slope', 'waveform_halfwidth', 'amplitude_cutoff', 'nn_miss_rate', 'quality', 'velocity_above', 'isolation_distance', 'l_ratio', 'recovery_slope', 'isi_violations']
    Index      rate    spread    velocity_below    silhouette_score    firing_rate    d_prime    nn_hit_rate    waveform_duration    amplitude    cluster_id    snr    local_index    peak_channel_id    PT_ratio    presence_ratio    max_drift    cumulative_drift    repolarization_slope    waveform_halfwidth    amplitude_cutoff    nn_miss_rate  quality      velocity_above    isolation_distance    l_ratio    recovery_slope    isi_violations
951770484   5.17609        80             -0.33                0.08           5.18       3.76           0.92                 0.18       160.58           155   3.33            144          850140682        0.7               0.99        33.45              173.54                    0.66                  0.1                 0.01            0.01  good                   0             63.06              0.01             -0.22              0.52
951770489   0.94955        80             -0.27                0.07           0.95       3.36           0.55                 0.18       165.54           156   3.14            145          850140682        0.68              0.99        28.02              346.73                    0.67                  0.11                0.11            0     good                   0.14          41.23              0.02             -0.23              1.8
951770497   0.73007        70              0.48               -0              0.73       3.55           0.76                 0.3        115.64           157   2.59            146          850140682        0.47              0.98        17.91              285.93                    0.5                   0.18                0.5             0     good                   0.69          46.19              0.01             -0.1               0.65
951770501   4.21404        80             -1.28                0.07           4.21       3.46           0.92                 0.33       122.26           158   1.84            147          850140690        0.46              0.99        37.58              186.53                    0.52                  0.16                0.01            0     good                   1.37          59.42              0.01             -0.09              0.03
951770508   1.8741         50             -0.34                0.03           1.87       3.62           0.71                 0.29       140.8            159   1.97            148          850140690        0.48              0.99        10.54              274.94                    0.61                  0.16                0.5             0     good                   1.03          42.46              0.02             -0.06              0.94
951770513   4.27707        70             -0.27                0.06           4.28       3.27           0.95                 0.29        80.88           160   1.31            149          850140690        0.39              0.99        33.45              287.58                    0.35                  0.16                0.5             0.01  good                  -0.21          76.37              0                -0.04              0.13
951770519   0.70237        50              0                   0.07           0.7        4.38           0.95                 0.48        72.37           161   2.23            150          850140696        0.36              0.99        25.19              495.63                    0.22                  0.19                0.13            0     good                  -0.34          66.1               0                -0.03              0.16
951770525   1.99056        50              0.07                0.03           1.99       4.91           0.99                 0.33        64.21           162   1.53            151          850140700        0.79              0.99        28.2               320.78                    0.23                  0.21                0.08            0     good                   0.69          79.73              0                -0.03              0.31
951770530   0.0062        110              2.25              nan              0.01       2.66           0                    0.19        91.84           163   2.03            152          850140696        0.33              0.32       nan                   0                       0.39                  0.12                0.5             0     good                   0.69          39.02              0                -0.07              0
951770536   0.05177        50              0.27              nan              0.05       3.9            0.06                 0.23        96.13           164   2.48            153          850140702        0.75              0.49        22.02               39.59                    0.28                  0.12                0.12            0     good                 nan             34.73              0.01             -0.03              0
951770542   0.19747        40             -0.69                0.05           0.2        3.77           0.62                 0.36       164.2            165   3.89            154          850140698        0.48              0.99        22.42               50.4                     0.68                  0.16                0.01            0     good                   0             44.31              0                -0.14              0
951770548   1.45735        70             -0.82                0.08           1.46       3.87           0.94                 0.21       110.11           166   2.73            155          850140698        0.34              0.98        15.96              358.93                    0.47                  0.11                0.02            0     good                  -0.34          63.03              0.01             -0.09              0.36
951770556   0.10809        10            nan                 nan              0.11       2.53           0.87                 2.69       470.26           167   0.85            156          850140706        0.15              0.99         3.05                1.16                    0.05                  1.46                0.03            0     noise                nan             41.68              0               -12.15            878.5
951770561   1.84444        50              0.55                0.07           1.84       5.79           1                    0.33       104.45           168   0.41            157          850140706        0.54              0.96        14.49              235.11                    0.44                nan                   0.5             0     good                  -0.69          85.14              0                -0.11              1.18
951770569   0.14798        10            nan                 nan              0.15       2.95           0.91                 0.03       477.46           169   1.12            158          850140706        0.06              0.99        29.27               36.84                   12.48                  1.69                0.03            0     noise                nan             41                 0.01            nan              1011.75
951770574  16.8392         10            nan                   0.1           16.84       4.46           0.98                 0.67        79.13           170   2.48            159          850140714        0.69              0.99        11.32              266.74                    0.13                  0.26                0.11            0.04  noise                nan            142.44              0.01             -0.05              0.05
951770580   0.00765       100              0.17              nan              0.01       6.23           0                    0.38       122.41           171   3.62            160          850140714        0.53              0.47       nan                   0                       0.47                  0.19                0.37            0     noise                  0.28          62.99              0                -0.09              0
951770586   7.93485        50             -2.75                0.05           7.93       3.84           0.88                 0.63        54.73           172   1.64            161          850140714        0.36              0.99        24.63              211.48                    0.16                  0.18                0.27            0.01  good                   0.21          58.83              0.06             -0.02              0.03
951770592   1.68127        90              0.41                0.08           1.68       3.48           0.79                 0.41        62.78           173   2.2             162          850140722        0.38              0.99        19.65              491.02                    0.22                  0.19                0.5             0.01  good                   0.55          47.13              0.03             -0.02              2.9
951770599   0.13227        90             -0.48               -0.04           0.13       3.24           0.18                 0.4         62.92           174   2.05            163          850140722        0.58              0.99        21.3                33.44                    0.25                  0.16                0.17            0     good                   0.69          31.26              0.03             -0.06             13.28
951770604   5.58602        60              0.34                0.05           5.59       4.4            0.96                 0.56        53.15           175   2.13            164          850140726        0.38              0.99        15.71              286.71                    0.19                  0.19                0.1             0.02  good                   0.41          77.9               0.01             -0.02              0.05
951770610   0.3222         60             -0.48                0.12           0.32       7.94           0.99                 0.3        173.69           176   4.19            165          850140730        0.63              0.99        27.61              135.6                     0.79                  0.21                0               0     good                   0.34          76.53              0                -0.14              0
951770618   0.14901        60              0.89              nan              0.15       4.03           0.61                 0.23        58.39           177   1.99            166          850140732        1.4               0.7         40.83              196.78                    0.26                  0.22                0.22            0     good                  -0.34          44.42              0                -0.08              1.74
951770623   0.16317        60              0.34                0.06           0.16       4.93           0.5                  0.52        86.42           178   3.04            167          850140732        0.99              0.85        46.81              399.88                    0.15                  0.23                0.05            0     noise                 -0.34          52.97              0                -0.01              0
951770630   0.05311        60              0.34              nan              0.05       8.35           0.99                 0.15        92.07           179   3.29            168          850140732        1                 0.47        28.61              160.85                    0.34                  0.16                0.12            0     noise                  0             88.32              0                -0.14              0
951770636   1.18382        10            nan                   0.04           1.18     nan              1                    1.84        54.58           180   2.53            169          850140766        0.05              0.99         8.77              327.12                    0.22                  0.16                0.5           nan     noise                nan            nan               nan                -0                 1.38
951770641   1.42738        90            nan                  -0.16           1.43     nan            nan                    1.74        51.54           181   0.5             170          850140810        0.48              0.99        45.53             1604.8                    -0                     0.78                0.5             0     noise                  7.53         nan               nan                -0.01              3.48
951770647   2.63909       170              2.69                0              2.64       1.76           0.1                  2.03        29.66           182   0.69            171          850140818        1.27              0.99        28.91              967.29                    0.01                  1.33                0.5             0.02  noise                  0             22                 0.27             -0.54              0.8
951770653   0.93426       100              3.43               -0.01           0.93     nan            nan                    1.47        40.5            183   0.78            172          850140814        0.47              0.99        48.87             1634.65                    0.01                  0.99                0.5             0     noise                  6.73         nan               nan                -0.03             20.63
951770658   3.0141        100              5.49                0.01           3.01     nan            nan                    2.07        32.36           184   0.91            173          850140814        0.21              0.99        32.84             1133.7                     0.01                  1.44                0.5             0     noise                  5.93         nan               nan                -0.45              0.71
951770663  21.2313        170              1.47                0.04          21.23       1.82           0.87                 1.51        17.94           185   0.5             174          850140826        0.11              0.99        17.75              305.11                    0.04                  1.18                0.27            0.26  noise                 -0.69        7420.02              0.06             -0.08              0.02
951770670   1.88836       170              0.97               -0.03           1.89     nan            nan                    0.76        28.33           186   0.23            175          850140834        1.24              0.99        55.9              1266.76                    0.02                  1.47                0.5             0     noise                 -0.49         nan               nan               nan                 1.68
951770674   2.97886       120              0.21               -0.01           2.98       3.41           0.69                 0.22        53.25           187   0.99            176          850140824        0.28              0.99        20.27              518.34                    0.23                  0.15                0.5             0.01  noise                  0.23          34.62              0.16             -0.03              3.43
951770680   0.01767       130              1.59              nan              0.02       4.33           0                    0.63        92.31           188   0.27            177          850140838        2.26              0.53         0                   0                       0.05                  1.61                0.46            0     good                  -2.99          36.58              0.01            nan               124.04
951770685   0.08742       120             -0.07              nan              0.09     nan            nan                    0.41        68.27           189   0.99            178          850140824        0.18              0.83        32.63              127.57                    0.27                  0.15                0.1             0     noise                 -0.76         nan               nan                -0.01             45.61
951770691   0.94656        80              0.55                0.01           0.95       3.13           0.43                 0.15        83.02           190   1.46            179          850140826        0.76              0.99        25.88              886.03                    0.28                  0.08                0.5             0.01  good                  10.78          29.14              0.17             -0.15              5.53
951770696   0.0744         70             -0.34              nan              0.07       4.51           0.17                 0.78        96.88           191   1.49            180          850140826        0.2               0.99        16.43                9.28                    0.38                  0.15                0.16            0     good                   0.21          37.62              0                -0.02              7
951770704   0.95203        80              0.62                0              0.95       3.23           0.37                 0.15        84.93           192   1.45            181          850140826        0.73              0.99        41.81              875.97                    0.26                  0.1                 0.32            0.01  noise                 -3.5           28.23              0.19             -0.15              8.08
951770708   1.23135        90             -1.24                0.07           1.23       4.8            0.85                 0.37        89.25           193   1.28            182          850140828        0.22              0.99        14.91              445.49                    0.37                  0.15                0.08            0     good                   0.41          46.29              0.02             -0.03              2.02
951770714   1.40785       110             -1.51                0.04           1.41       5.04           0.85                 0.34        95.96           194   1.36            183          850140828        0.34              0.99        16.44              344.56                    0.38                  0.18                0.02            0     good                   7.33          44.4               0.03             -0.04              0.33
951770720  12.3374         60             -0.34                0.3           12.34      25.57           1                    0.23       943.27           195   8.54            184          850140832        0.58              0.99        29.27              155.51                    4.25                  0.16                0               0     good                   0.41         508.97              0                -1.05              0.07
951770728  13.9405         80             -0.21                0.32          13.94      12.36           1                    0.25       362.01           196   5.11            185          850140842        0.5               0.99        27.25               56.38                    1.65                  0.12                0               0     good                   0.14         365.02              0                -0.36              0
951770735   1.29015       170             -4.46               -0.04           1.29       1.26           0.04                 1.9         36.06           197   0.33            186          850140842        0.11              0.99        43.02             1688.73                    0.01                  1.57                0.37            0.01  noise                  4.52          17.81              0.41             -0.22              1.16
951770742   3.76835        80             -0.07                0.2            3.77       4.43           0.99                 0.23       190.47           198   2.47            187          850140850        0.6               0.99        19.09              119.39                    0.83                  0.12                0               0     good                  -0.41          62.15              0.01             -0.19              0.03
951770748   1.0222         70             -0.34                0.19           1.02       4.39           0.78                 0.49       135.47           199   1.67            188          850140850        0.48              0.99        25.05              184.35                    0.49                  0.19                0               0     good                   0.34          44.42              0.02             -0.08              0.48
951770755   7.26544        70             -0.34                0.26           7.27      10.95           1                    0.18       202.17           200   3.33            189          850140852        0.65              0.99        31.33              116.81                    0.8                   0.1                 0               0     good                  -0.21         140.96              0                -0.25              0.07
951770760   0.29544       160             -3.81               -0.02           0.3        2.75           0.08                 1.81        92.28           201   0.35            190          850140838        0.57              0.98        59.04             1308.51                    0.02                  1.3                 0.09            0     noise                  1.95          20.03              0.22             -1.08              0.44
951770768   0.5141        140             -1.04               -0.08           0.51     nan            nan                    2.09       130.65           202   0.6             191          850140838        2.22              0.99        66.26             1705.11                    0.09                  1.22                0.07            0     noise                 -6.17         nan               nan                -2.07              0.59
951770773  11.2351        140             -0.15                0.1           11.24       3.42           0.94                 0.36        60.57           203   1.46            192          850140862        0.23              0.99         8.99              205.99                    0.24                  0.16                0.07            0.05  noise                 -0.12          83.25              0.03             -0.03              0.1
951770780   3.64          150              1.2                 0.04           3.64       2.2            0.43                 0.25        44.08           204   0.92            193          850140862        0.28              0.99        30.03              508.67                    0.2                   0.18                0.42            0.04  good                   0.34          35.24              0.19             -0.03              1.19
951770785   3.57532       150             -1.99                0.01           3.58       2.67           0.59                 0.26        57.22           205   1.2             194          850140862        0.33              0.99        12.01              272.47                    0.26                  0.16                0.5             0.06  noise                  0.34          40.84              0.12             -0.05              1.67
951770791   0.00537       170              4.04              nan              0.01       6.33           0                    1.77       123.8            206   0.65            195          850140858       11.88              0.36       nan                   0                       0.2                   0.32                0.5             0     noise                  1.82          82.28              0                -0.05              0
951770795   1.7439        160             -0.57                0.01           1.74       1.88           0.25                 1.24        32.74           207   0.38            196          850140862        0.53              0.99        37.45              983.23                    0.02                  0.91                0.5             0.03  noise                  0.54          28.4               0.35             -0.02              2.78
951770802   0.4058        110             -5.97               -0              0.41       2.03           0.12                 2.02       113.62           208   1.4             197          850140882        0.73              0.99        51.08             1454.47                    0.03                  1.44                0.23            0     noise                  4.81          18.18              0.61             -2.44              0.24
951770808   0.29275       170              3.45               -0.08           0.29     nan            nan                    1.95        86.31           209   0.87            198          850140882        1.09              0.99        76.73             1686.81                    0.01                  1.52                0.05            0     noise                 -6.49         nan               nan                -1.48              0
951770814   2.82355       110             -1.82                0.03           2.82       1.33           0.22                 1.65        44.17           210   0.43            199          850140862        0.15              0.99        21.47              657.62                    0.02                  1.61                0.46            0.08  noise                 -0.8           31.01              0.36             -0.32              0.23
951770822   5.15015       160              2.87               -0.01           5.15       1.81           0.53                 1.8         27.94           211   0.56            200          850140878        6.18              0.99        21.33              707.54                    0.01                  2.02                0.23            0.14  noise                 -8             44.81              0.24             -0.29              0.05
951770828   2.51685       170              4.96               -0.02           2.52       4.04           0.93                 2.09        33.74           212   0.6             201          850140882        2.3               0.99        31                1116.62                    0.01                  1.37                0.5             0.02  noise                 -0.02          59.97              0.01             -0.61              0.33
951770834   9.90298       170             -7.12                0.01           9.9        1.44           0.76                 0.03        27.76           213   0.68            202          850140882        1.22              0.99        11.84              323.19                    0.46                  0.84                0.11            0.34  noise                  1.03         110                 0.19            nan                 0.07
951770842   3.29125       140             -6.23                0.04           3.29       4.23           0.99                 0.15        57.52           215   1.7             203          850140904        1.36              0.99        34.69              663.04                    0.21                  0.14                0               0     noise                 -2.4           52.29              0.06             -0.08              0.02
951770847   0.00434       170             -5.3               nan              0          5.98           0                    0.14        67.28           216   1.61            204          850140904        1.02              0.28       nan                   0                       0.19                  0.14                0.5             0     good                  -0.37         209.45              0                -0.12              0
951770854   1.60326       170              0.27                0.06           1.6        3.44           0.91                 1.02        30.97           217   0.54            205          850140930        2.05              0.99        33.78              870.71                    0.02                  1.63                0.45            0.01  noise                  3.41          63.47              0.03            nan                28.7
951770860   2.06372        80              0                   0.01           2.06       3.29           0.89                 0.41        57.98           218   1.35            206          850140922        0.54              0.99        29.27              327.82                    0.2                   0.19                0.42            0.04  good                   0.34          55.87              0.06             -0.03              3.13
951770867   2.47717        30              0                   0.1            2.48       4.99           0.99                 0.29       107.69           219   3.07            207          850140926        0.32              0.99        14.94              260.65                    0.4                   0.1                 0.06            0     noise                  0             73.23              0                -0.08              0.16
951770873   3.86228       140              0.06                0.06           3.86       2.22           0.61                 0.49        45.86           220   1.1             208          850140930        0.6               0.99        50.01              374.91                    0.14                  0.25                0.5             0.1   good                   3.75          43.83              0.2              -0.04              3.25
951770880   0.34214       170             -1.22              nan              0.34       2.1            0.19                 2.29        73.36           221   0.94            209          850140938        0.42              0.99        40.32              523.78                    0.01                  1.26                0.17            0     noise                  7.06          21.31              0.45             -0.92             77.8
951770886   1.24447        20              0                   0.13           1.24       5.34           0.98                 0.3        122.43           222   3.39            210          850140938        0.15              0.99        14.56              185.76                    0.47                  0.1                 0.03            0     noise                nan             59.15              0.01             -0.05              0.03
951770891   3.36224       170              0.8                 0.05           3.36       1.44           0.55                 2.09        32.97           223   0.78            211          850140938        0.21              0.99        49.71              544.7                     0.05                  0.87                0.5             0.11  noise                 -0.15          41.35              0.19             -0.37              3.3
951770896   4.17508       160             -0.23                0.03           4.18       1.9            0.68                 0.41        42.46           224   1.13            212          850140940        0.42              0.99        46.49              337.13                    0.13                  0.27                0.5             0.21  noise                  3.61          50.87              0.17             -0.02              1.56
951770901   2.79089       150             -0.59                0.08           2.79       3.89           0.9                  0.36        47.42           225   1.52            213          850140952        0.15              0.99        35.28              357.44                    0.2                   0.21                0.5             0.03  noise                 -0.33          60.98              0.04             -0.02              0.87
951770908   0.65711        40             -1.37                0.16           0.66       7.72           1                    0.67       170.28           226   3.49            214          850140954        0.28              0.94        41.4                57.42                    0.6                   0.16                0               0     good                  -0.34         131.59              0                -0.05              0
951770914   2.69304       170             -2.72                0.02           2.69       2.64           0.75                 1.11        33.99           227   0.64            215          850140954        0.42              0.99        33.85              871.98                    0.01                  1.06                0.5             0.02  noise                 -1.83          49.23              0.05             -0.03              5.7
951770921   2.56759       170              0.1                -0.01           2.57     nan            nan                    0.89        31.68           228   0.71            216          850140958        0.34              0.99        47.97             1370.9                     0.04                  1.33                0.5             0     noise                  2.85         nan               nan               nan                 6.84
951770928   3.41143       160             -2.11                0.11           3.41       4.31           0.95                 0.73        47.58           229   1.34            217          850140962        0.06              0.99        31.51              377.62                    0.09                  0.47                0.4             0.01  good                  -1.52          74.08              0.03             -0.01              0.75
951770943   0.82007       150             -2.38                0.06           0.82       2.38           0.88                 0.66       109.81           231   2.32            218          850140968        0.2               0.97        32.85              269                       0.29                  0.29                0.34            0     noise                 -0.29          36.12              0.04             -0.02              1.96
951770949   7.27515       120             -4.33                0.19           7.28       5.55           0.99                 0.8         99.99           232   2.61            219          850140968        0.2               0.98        24.7               252.31                    0.21                  0.34                0               0     good                  -0.43         110.53              0                -0.02              0.01
951770955   3.869         130             -2.95                0.07           3.87       3.16           0.87                 0.92        75.45           233   1.42            220          850140970        0.27              0.99        38.73              175.86                    0.09                  0.38                0               0     good                  -0.24          49.04              0.02             -0.01              0.48
951770960   3.89628       100             -3.43                0.25           3.9        7.32           1                    0.92       121.58           234   3.03            221          850140976        0.16              0.71         7.5                73.34                    0.35                  0.25                0               0     good                  -0.04         135.09              0                -0.03              0
951770965   2.26109       140             -2.29                0.13           2.26       5.09           0.99                 0.98       116.46           235   2.31            222          850140984        0.26              0.99        52.89              400.94                    0.34                  0.18                0               0     good                  -0.57          65.91              0                -0.02              0.05
951770969   0.96547       120             -0.64                0.22           0.97       4.8            0.98                 0.71       162.48           236   2.3             223          850140994        0.34              0.98        40.41              273.39                    0.4                   0.22                0               0     noise                  0.82          55.24              0                -0.01              0.04
951770976   5.17216       140             -2.16                0.13           5.17       2.55           0.75                 0.98        60.8            237   1.12            224          850140986        0.16              0.99        36.81              324.83                    0.14                  0.33                0.21            0.01  good                   0.65          45.1               0.04             -0.02              0.61
951770981   3.4756        120             -3.51                0.07           3.48       2.9            0.75                 0.77        62.32           238   1.47            225          850140978        0.32              0.99        36.57              275.61                    0.15                  0.27                0.5             0.01  good                   0.02          48.33              0.02             -0.01              0.66
951770987   3.96231       170             -2.09                0.05           3.96       2.48           0.95                 0.78        40.64           239   0.72            226          850140972        0.41              0.97        91.04              750.16                    0.06                  0.4                 0.13            0.01  good                  -0.64          72.64              0.01             -0.01              0.91
951770994   7.32072       110             -2.47                0.06           7.32       3.4            0.99                 0.67        52.32           240   1.27            227          850140980        0.28              0.99        35.34              230.74                    0.13                  0.3                 0.16            0     good                   0.39          86.45              0                -0.01              0.39
951771000   1.40661       120             -2.69                0.09           1.41       3.05           0.92                 0.78       130.76           241   2.15            228          850140976        0.17              0.8         57.42              454.14                    0.22                  0.3                 0.07            0     noise                 -0.56          49.46              0.01             -0.01              0.39
951771005   4.06492       110             -1.77                0.16           4.06       3.26           0.66                 0.69       118.61           242   2.17            229          850140986        0.13              0.99        42.22              252.8                     0.39                  0.22                0               0.01  good                   0.27          31.38              0.07             -0.01              0.42
951771013   5.3747        100             -2.38                0.06           5.37       1.92           0.66                 0.8         91.89           243   1.94            230          850140986        0.15              0.99        31.97              182.88                    0.26                  0.26                0.04            0.01  good                  -0.14          39.4               0.04             -0.02              0.47
951771018   1.93496        60             -1.99                0.08           1.93       4.08           0.83                 0.95       149.97           244   3.01            231          850140986        0.15              0.92        17.95               74.89                    0.5                   0.18                0               0     good                  -0.34          44.48              0.01             -0.03              0.32
951771024   8.65086       120             -2.5                 0.04           8.65       2.72           0.85                 0.69       105.93           245   2.25            232          850140986        0.11              0.99        55.11              239.67                    0.32                  0.23                0               0.01  good                   0.22          48.38              0.03             -0                 0.13
951771032   6.05693       120             -1.67                0.04           6.06       1.74           0.59                 0.82        58.93           246   0.89            233          850140994        0.4               0.99        78.75              371.29                    0.16                  0.22                0.5             0.02  good                   0.62          37.98              0.05             -0.01              0.37
951771038   1.6262        130             -1.28                0.03           1.63       2.04           0.43                 0.88        75.35           247   0.78            234          850140994        0.8               0.99        40.18              407.6                     0.14                  0.29                0.5             0     noise                 -0.89          29.33              0.06             -0.02              1.99
951771043   1.92535        80             -1.08                0.16           1.93       3.73           0.8                  0.95       264.48           248   3.13            235          850140994        0.25              0.99        39.3               199.48                    0.85                  0.16                0               0     good                  -0.69          41.36              0.01             -0.04              0.21
951771050  10.1953         80              0.27                0.08          10.2        3.51           0.99                 0.32        78.07           249   1.7             236          850140990        0.44              0.99        58.09              205.4                     0.34                  0.19                0.04            0     good                   0.14          75.2               0                -0.08              0.02
951771057   5.83796       140             -2.43                0.06           5.84       2.33           0.79                 1.11        69.59           250   1.36            237          850140990        0.27              0.99        69.39              285.31                    0.16                  0.27                0.5             0.01  good                  -0.9           46.61              0.02             -0.02              0.54
951771064  14.5114        100             -2.47                0.06          14.51       3.43           0.99                 0.88        72.08           251   0.84            238          850140994        0.38              0.99        39.99              141.15                    0.14                  0.18                0.01            0     good                   0             74.75              0                -0.01              0.26
951771069   2.92957        80             -0.89                0.17           2.93       4.73           0.97                 1          163.51           252   2.44            239          850140992        0.3               0.99        65.95              195.28                    0.51                  0.22                0               0     good                   0.48          68.9               0                -0.03              0.27
951771077   0.01912       120             -1.21              nan              0.02       4.03           0                    0.12       178.79           253   1.03            240          850140992        1.07              0.62       nan                   0                       0.31                  0.07                0.27            0     good                   1.72          34.59              0                -0.26              0
951771083   3.73104        90             -2.85                0.16           3.73       2.9            0.92                 0.81       164.62           254   2.22            241          850140994        0.32              0.86        31.56               86.26                    0.4                   0.27                0               0     good                  -0.69          48.72              0.01             -0.03              0.01
951771089   1.26979        80             -1.31                0.11           1.27       4.83           0.71                 1.06       269.33           255   3.18            242          850140994        0.2               0.87         5.26              107.68                    0.99                  0.14                0               0     good                  -0.34          41.26              0.01             -0.04              0.79
951771095   3.76111       100             -3.37                0.05           3.76       2.64           0.83                 1.15        74.17           256   1.1             243          850140994        0.3               0.99        43.44              278.68                    0.15                  0.3                 0.41            0     noise                  1.37          48.85              0.01             -0                 0.19
951771103   4.8884        120             -2.1                 0.06           4.89       2.49           0.64                 0.91        77.75           257   1.18            244          850140994        0.57              0.99        69.41              293.62                    0.16                  0.26                0.1             0.01  good                   1.72          37.33              0.04             -0.03              0.19
951771110   5.96702       100             -1.47                0.06           5.97       1.77           0.79                 0.99        90.26           258   1.31            245          850140994        0.35              0.99        56.2               210                       0.27                  0.22                0.22            0.01  good                  -0.34          40.74              0.04             -0.01              0.39
951771115   0.84911       120             -1.75                0.03           0.85       2.73           0.61                 1.04       113.59           259   1.3             246          850140994        0.35              0.9         29.36              347.21                    0.31                  0.11                0               0     good                   0.27          31.89              0.02             -0.02              0.05
